"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"gender","4025","","","","","",""
"... Male","1963","48.8%","","","","",""
"... Female","2062","51.2%","","","","",""
"age","4025","60.667","12.436","40","50","71","80"
"rfm","3613","36.445","8.056","7.975","30.292","43.28","56.205"
"ethnicity","4025","","","","","",""
"... Non-Hispanic White","1999","49.7%","","","","",""
"... Hispanic","1055","26.2%","","","","",""
"... Non-Hispanic Black","819","20.3%","","","","",""
"... Other","152","3.8%","","","","",""
"education","4021","","","","","",""
"... High School/GED","980","24.4%","","","","",""
"... Less than High School","1353","33.6%","","","","",""
"... Some college","940","23.4%","","","","",""
"... College Graduate or above","748","18.6%","","","","",""
"marital_status","4023","","","","","",""
"... Never Married","295","7.3%","","","","",""
"... Married","2458","61.1%","","","","",""
"... Previously Married","1270","31.6%","","","","",""
"... Refused","0","0%","","","","",""
"... Don't Know","0","0%","","","","",""
"poverty_level_category","3759","","","","","",""
"... Poverty Index in (1.30, 1.85)","578","15.4%","","","","",""
"... Poverty Index <= 1.3","1209","32.2%","","","","",""
"... Poverty Index > 1.85","1972","52.5%","","","","",""
"health_insurance","4021","","","","","",""
"... Not Covered","674","16.8%","","","","",""
"... Covered","3347","83.2%","","","","",""
"num_healthcare_visits","4023","","","","","",""
"... 0 to 1","1029","25.6%","","","","",""
"... 2 to 3","1052","26.1%","","","","",""
"... 4 to 9","1281","31.8%","","","","",""
"... 10 to 12","329","8.2%","","","","",""
"... 13 or more","332","8.3%","","","","",""
"worried_house_run_out_food","3983","","","","","",""
"... Never true","3208","80.5%","","","","",""
"... Often True","270","6.8%","","","","",""
"... Sometimes true","505","12.7%","","","","",""
"food_ran_out","3990","","","","","",""
"... Never true","3328","83.4%","","","","",""
"... Often True","200","5%","","","","",""
"... Sometimes true","462","11.6%","","","","",""
"tobacco_use","4020","","","","","",""
"... Never","1986","49.4%","","","","",""
"... Current","770","19.2%","","","","",""
"... Former","1264","31.4%","","","","",""
"alcohol_consumption","2956","","","","","",""
"... Never","582","19.7%","","","","",""
"... Current Drinker","1789","60.5%","","","","",""
"... Past drinker","585","19.8%","","","","",""
"fasting_glucose","1806","6.501","2.497","3.053","5.384","6.55","32.418"
"difficulty_walking","4025","","","","","",""
"... No","3485","86.6%","","","","",""
"... Yes","540","13.4%","","","","",""
"high_blood_pressure","4020","","","","","",""
"... No","2112","52.5%","","","","",""
"... Yes","1908","47.5%","","","","",""
"religious_attendance","4017","","","","","",""
"... Less than Weekly","2425","60.4%","","","","",""
"... Weekly","1103","27.5%","","","","",""
"... More than Weekly","489","12.2%","","","","",""
"cvd","4025","0.116","0.32","0","0","0","1"
