"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"gender","1416","","","","","",""
"... Male","1416","100%","","","","",""
"... Female","0","0%","","","","",""
"age","1416","60.308","12.275","40","50","71","80"
"rfm","1416","30.121","4.631","7.975","27.503","33.096","42.806"
"ethnicity","1416","","","","","",""
"... Non-Hispanic White","759","53.6%","","","","",""
"... Hispanic","348","24.6%","","","","",""
"... Non-Hispanic Black","265","18.7%","","","","",""
"... Other","44","3.1%","","","","",""
"education","1416","","","","","",""
"... High School/GED","330","23.3%","","","","",""
"... Less than High School","448","31.6%","","","","",""
"... Some college","332","23.4%","","","","",""
"... College Graduate or above","306","21.6%","","","","",""
"marital_status","1416","","","","","",""
"... Never Married","105","7.4%","","","","",""
"... Married","1012","71.5%","","","","",""
"... Previously Married","299","21.1%","","","","",""
"... Refused","0","0%","","","","",""
"... Don't Know","0","0%","","","","",""
"poverty_level_category","1416","","","","","",""
"... Poverty Index in (1.30, 1.85)","197","13.9%","","","","",""
"... Poverty Index <= 1.3","410","29%","","","","",""
"... Poverty Index > 1.85","809","57.1%","","","","",""
"health_insurance","1416","","","","","",""
"... Not Covered","248","17.5%","","","","",""
"... Covered","1168","82.5%","","","","",""
"num_healthcare_visits","1416","","","","","",""
"... 0 to 1","433","30.6%","","","","",""
"... 2 to 3","356","25.1%","","","","",""
"... 4 to 9","420","29.7%","","","","",""
"... 10 to 12","100","7.1%","","","","",""
"... 13 or more","107","7.6%","","","","",""
"worried_house_run_out_food","1416","","","","","",""
"... Never true","1168","82.5%","","","","",""
"... Often True","79","5.6%","","","","",""
"... Sometimes true","169","11.9%","","","","",""
"food_ran_out","1416","","","","","",""
"... Never true","1203","85%","","","","",""
"... Often True","62","4.4%","","","","",""
"... Sometimes true","151","10.7%","","","","",""
"cvd","1416","0.133","0.339","0","0","0","1"
