"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"SEQN","1560","46560.563","2946.444","41479","43966.5","49125","51623"
"gender","1560","","","","","",""
"... Male","1560","100%","","","","",""
"... Female","0","0%","","","","",""
"age","1560","60.624","12.325","40","50","71","80"
"ethnicity","1560","","","","","",""
"... Non-Hispanic White","830","53.2%","","","","",""
"... Hispanic","391","25.1%","","","","",""
"... Non-Hispanic Black","290","18.6%","","","","",""
"... Other","49","3.1%","","","","",""
"education","1560","","","","","",""
"... High School/GED","364","23.3%","","","","",""
"... Less than High School","505","32.4%","","","","",""
"... Some college","358","22.9%","","","","",""
"... College Graduate or above","333","21.3%","","","","",""
"marital_status","1560","","","","","",""
"... Never Married","118","7.6%","","","","",""
"... Married","1110","71.2%","","","","",""
"... Previously Married","332","21.3%","","","","",""
"... Refused","0","0%","","","","",""
"... Don't Know","0","0%","","","","",""
"born_outside_us","1195","","","","","",""
"... Born in US","1195","100%","","","","",""
"... Born outside US","0","0%","","","","",""
"SMQ020","1560","1.381","0.521","1","1","2","9"
"SMQ040","973","2.339","0.919","1","1","3","3"
"tobacco_use","1559","","","","","",""
"... Never","586","37.6%","","","","",""
"... Current","342","21.9%","","","","",""
"... Former","631","40.5%","","","","",""
"poverty_level_index","1386","2.542","1.595","0","1.16","4.07","5"
"poverty_level_category","1470","","","","","",""
"... Poverty Index in (1.30, 1.85)","208","14.1%","","","","",""
"... Poverty Index <= 1.3","431","29.3%","","","","",""
"... Poverty Index > 1.85","831","56.5%","","","","",""
"health_insurance","1558","","","","","",""
"... Not Covered","270","17.3%","","","","",""
"... Covered","1288","82.7%","","","","",""
"private_insurance","1559","","","","","",""
"... Not Covered","669","42.9%","","","","",""
"... Covered","890","57.1%","","","","",""
"medicare","1560","","","","","",""
"... Not Covered","994","63.7%","","","","",""
"... Covered","566","36.3%","","","","",""
"medicaid","1560","","","","","",""
"... Not Covered","1478","94.7%","","","","",""
"... Covered","82","5.3%","","","","",""
"num_healthcare_visits","1558","","","","","",""
"... 0 to 1","475","30.5%","","","","",""
"... 2 to 3","385","24.7%","","","","",""
"... 4 to 9","466","29.9%","","","","",""
"... 10 to 12","114","7.3%","","","","",""
"... 13 or more","118","7.6%","","","","",""
"ever_received_food_stamps","1556","","","","","",""
"... Yes","261","16.8%","","","","",""
"... No","1295","83.2%","","","","",""
"FSQ171","261","1.372","0.671","1","1","2","9"
"num_months_WIC","0","NaN",NA,"Inf",NA,NA,"-Inf"
"worried_house_run_out_food","1552","","","","","",""
"... Never true","1276","82.2%","","","","",""
"... Often True","89","5.7%","","","","",""
"... Sometimes true","187","12%","","","","",""
"food_ran_out","1556","","","","","",""
"... Never true","1318","84.7%","","","","",""
"... Often True","72","4.6%","","","","",""
"... Sometimes true","166","10.7%","","","","",""
"difficulty_walking","1560","","","","","",""
"... No","1366","87.6%","","","","",""
"... Yes","194","12.4%","","","","",""
"high_blood_pressure","1559","","","","","",""
"... No","859","55.1%","","","","",""
"... Yes","700","44.9%","","","","",""
"risk_bp","1560","0","0","0","0","0","0"
"fasting_glucose","725","6.611","2.3","3.053","5.495","6.772","26.09"
"ALQ101","1560","1.094","0.292","1","1","1","2"
"ALQ130","1047","5.039","43.71","1","1","4","999"
"ALQ120Q","1413","8.23","58.539","0","0","5","999"
"ALQ120U","1043","1.686","0.826","1","1","2","3"
"ALQ140Q","1047","51.468","689.712","0","0","2","9999"
"ALQ140U","441","2.209","0.893","1","1","3","3"
"ALQ110","147","2","0","2","2","2","2"
"had_12_drinks_in_1yr","1560","","","","","",""
"... Yes","1413","90.6%","","","","",""
"... No","147","9.4%","","","","",""
"avg_drinks_daily_past_yr","1047","5.039","43.71","1","1","4","999"
"num_drinks_past_yr","1413","8.23","58.539","0","0","5","999"
"num_drinks_past_yr_unit","1043","1.686","0.826","1","1","2","3"
"num_days_5_drinks_or_more","1047","51.468","689.712","0","0","2","9999"
"had_12_drinks_lifetime","147","2","0","2","2","2","2"
"religious_attendance","1558","","","","","",""
"... Less than Weekly","1039","66.7%","","","","",""
"... Weekly","366","23.5%","","","","",""
"... More than Weekly","153","9.8%","","","","",""
"heart_attack","1556","","","","","",""
"... Yes","145","9.3%","","","","",""
"... No","1411","90.7%","","","","",""
"stroke","1552","","","","","",""
"... Yes","95","6.1%","","","","",""
"... No","1457","93.9%","","","","",""
"heart_attack_num","1560","1.925","0.462","1","2","2","9"
"stroke_num","1560","1.975","0.558","1","2","2","9"
"religious_attendance_num","1559","83.525","1970.363","0","0","52","77777"
"weight","1541","87.565","19.324","43.1","74.7","97.5","218.2"
"height","1541","173.672","7.687","142.1","168.3","178.7","203.8"
"waist","1512","104.295","14.322","64.4","94.9","112.6","166.4"
"rfm","1509","30.102","4.599","7.975","27.508","33.073","42.806"
"cvd","1560","0.14","0.347","0","0","0","1"
"alcohol_consumption","1560","","","","","",""
"... Never","147","9.4%","","","","",""
"... Current Drinker","1047","67.1%","","","","",""
"... Past drinker","366","23.5%","","","","",""
