"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"SEQN","5935","46559.798","2928.332","41475","44049.5","49104.5","51623"
"gender","5935","","","","","",""
"... Male","2910","49%","","","","",""
"... Female","3025","51%","","","","",""
"age","5935","50.772","17.953","20","36","65","80"
"ethnicity","5935","","","","","",""
"... Mexican American","1033","17.4%","","","","",""
"... Other Hispanic","666","11.2%","","","","",""
"... Non-Hispanic White","2761","46.5%","","","","",""
"... Non-Hispanic Black","1227","20.7%","","","","",""
"... Other","248","4.2%","","","","",""
"education","5935","","","","","",""
"... Less than 9th grade","811","13.7%","","","","",""
"... 9-11th Grade","1050","17.7%","","","","",""
"... High School/GED","1462","24.6%","","","","",""
"... Some college","1505","25.4%","","","","",""
"... College Graduate or above","1100","18.5%","","","","",""
"... Refused","2","0%","","","","",""
"... Don't Know","5","0.1%","","","","",""
"marital_status","5935","","","","","",""
"... Married","3116","52.5%","","","","",""
"... Widowed","562","9.5%","","","","",""
"... Divorced","657","11.1%","","","","",""
"... Separated","203","3.4%","","","","",""
"... Never Married","992","16.7%","","","","",""
"... Living with partner","401","6.8%","","","","",""
"... Refused","4","0.1%","","","","",""
"... Don't know","0","0%","","","","",""
"born_outside_us","5935","","","","","",""
"... Born in US","4439","74.8%","","","","",""
"... Born in Mexico","613","10.3%","","","","",""
"... Born in other spanish speaking country","513","8.6%","","","","",""
"... Born in other non-spanish speaking country","366","6.2%","","","","",""
"... Refused","3","0.1%","","","","",""
"... Don't know","1","0%","","","","",""
"poverty_level_index","5185","2.303","1.552","0","1.03","3.48","5"
"poverty_level_category","5664","","","","","",""
"... Poverty Index <= 1.3","1912","33.8%","","","","",""
"... Poverty Index in (1.30, 1.85)","860","15.2%","","","","",""
"... Poverty Index > 1.85","2782","49.1%","","","","",""
"... Refused","47","0.8%","","","","",""
"... Don't know","63","1.1%","","","","",""
"health_insurance","5935","","","","","",""
"... Yes","4534","76.4%","","","","",""
"... No","1396","23.5%","","","","",""
"... Refused","3","0.1%","","","","",""
"... Don't know","2","0%","","","","",""
"private_insurance","3147","","","","","",""
"... Covered","3141","99.8%","","","","",""
"... Refused","1","0%","","","","",""
"... Don't Know","5","0.2%","","","","",""
"medicare","1488","","","","","",""
"... Covered","1488","100%","","","","",""
"medicaid","469","","","","","",""
"... Covered","469","100%","","","","",""
"num_healthcare_visits","5935","","","","","",""
"... None","986","16.6%","","","","",""
"... 1","1017","17.1%","","","","",""
"... 2 to 3","1520","25.6%","","","","",""
"... 4 to 9","1578","26.6%","","","","",""
"... 10 to 12","407","6.9%","","","","",""
"... 13 or more","425","7.2%","","","","",""
"... Refused","0","0%","","","","",""
"... Don't know","2","0%","","","","",""
"ever_received_food_stamps","5887","","","","","",""
"... Yes","1376","23.4%","","","","",""
"... No","4505","76.5%","","","","",""
"... Refused","4","0.1%","","","","",""
"... Don't Know","2","0%","","","","",""
"food_stamps_past_yr","1376","","","","","",""
"... Yes","922","67%","","","","",""
"... No","453","32.9%","","","","",""
"... Refused","0","0%","","","","",""
"... Don't Know","1","0.1%","","","","",""
"num_months_WIC","0","NaN",NA,"Inf",NA,NA,"-Inf"
"worried_house_run_out_food","5887","","","","","",""
"... Often True","465","7.9%","","","","",""
"... Sometimes true","874","14.8%","","","","",""
"... Never true","4534","77%","","","","",""
"... Refused","8","0.1%","","","","",""
"... Don't Know","6","0.1%","","","","",""
"food_ran_out","5887","","","","","",""
"... Often True","324","5.5%","","","","",""
"... Sometimes true","795","13.5%","","","","",""
"... Never true","4762","80.9%","","","","",""
"... Refused","4","0.1%","","","","",""
"... Don't Know","2","0%","","","","",""
"mobility_limit","5935","","","","","",""
"... Yes","886","14.9%","","","","",""
"... No","5043","85%","","","","",""
"... Refused","0","0%","","","","",""
"... Don't Know","6","0.1%","","","","",""
"high_blood_pressure","5935","","","","","",""
"... Yes","2124","35.8%","","","","",""
"... No","3805","64.1%","","","","",""
"... Don't Know","0","0%","","","","",""
"... Refused","6","0.1%","","","","",""
"fasting_glucose","2622","","","","","",""
"... At Risk","1729","65.9%","","","","",""
"... Not at Risk","893","34.1%","","","","",""
"tobacco_use_5_days","5233","","","","","",""
"... Yes","1424","27.2%","","","","",""
"... No","3809","72.8%","","","","",""
"... Refused","0","0%","","","","",""
"... Don't Know","0","0%","","","","",""
"had_12_drinks_in_1yr","5233","","","","","",""
"... Yes","3670","70.1%","","","","",""
"... No","1557","29.8%","","","","",""
"... Refused","0","0%","","","","",""
"... Don't Know","6","0.1%","","","","",""
"religious_attendance","4024","197.303","3797.941","0","0","52","99999"
"heart_attack","5935","","","","","",""
"... Yes","282","4.8%","","","","",""
"... No","5642","95.1%","","","","",""
"... Refused","0","0%","","","","",""
"... Don't Know","11","0.2%","","","","",""
"stroke","5935","","","","","",""
"... Yes","258","4.3%","","","","",""
"... No","5659","95.3%","","","","",""
"... Refused","0","0%","","","","",""
"... Don't Know","18","0.3%","","","","",""
"calories","5419","135.799","82.164","9","86.817","163.261","1707"
