"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"age","3815","61","12","40","50","71","80"
"num_healthcare_visits","3813","","","","","",""
"... 0 to 1","956","25%","","","","",""
"... 2 to 3","1001","26%","","","","",""
"... 4 to 9","1224","32%","","","","",""
"... 10 to 12","318","8%","","","","",""
"... 13 or more","314","8%","","","","",""
"gender","3815","","","","","",""
"... Male","1865","49%","","","","",""
"... Female","1950","51%","","","","",""
"ethnicity","3815","","","","","",""
"... Non-Hispanic White","1991","52%","","","","",""
"... Hispanic","1008","26%","","","","",""
"... Non-Hispanic Black","816","21%","","","","",""
"education","3812","","","","","",""
"... High School/GED","931","24%","","","","",""
"... Less than High School","1271","33%","","","","",""
"... Some college","909","24%","","","","",""
"... College Graduate or above","701","18%","","","","",""
"marital_status","3814","","","","","",""
"... Never Married","285","7%","","","","",""
"... Married","2319","61%","","","","",""
"... Previously Married","1210","32%","","","","",""
"food_ran_out","3781","","","","","",""
"... Never true","3166","84%","","","","",""
"... Often True","184","5%","","","","",""
"... Sometimes true","431","11%","","","","",""
"health_insurance","3812","","","","","",""
"... Not Covered","623","16%","","","","",""
"... Covered","3189","84%","","","","",""
"home","3785","","","","","",""
"... Owned or being bought","2776","73%","","","","",""
"... Rented","944","25%","","","","",""
"... Other Arrangement","61","2%","","","","",""
"... Refused","1","0%","","","","",""
"... Don't know","3","0%","","","","",""
"... Missing","0","0%","","","","",""
"poverty_level_category","3569","","","","","",""
"... Poverty Index in (1.30, 1.85)","552","15%","","","","",""
"... Poverty Index <= 1.3","1132","32%","","","","",""
"... Poverty Index > 1.85","1885","53%","","","","",""
"emotional_support","3807","","","","","",""
"... Yes","3434","90%","","","","",""
"... No","350","9%","","","","",""
"... SP doesn't need help","23","1%","","","","",""
"health_care_access","3815","","","","","",""
"... Yes","3450","90%","","","","",""
"... There is no place","358","9%","","","","",""
"... There is more than one place","7","0%","","","","",""
"... Refused","0","0%","","","","",""
"... Don't know","0","0%","","","","",""
"... Missing","0","0%","","","","",""
"depression","3357","3.3","4.5","0","0","5","27"
"high_blood_pressure","3812","","","","","",""
"... No","1983","52%","","","","",""
"... Yes","1829","48%","","","","",""
"cholesterol","3144","","","","","",""
"... Yes","1619","51%","","","","",""
"... No","1525","49%","","","","",""
"diabetes","3813","","","","","",""
"... Yes","675","18%","","","","",""
"... No","3057","80%","","","","",""
"... Borderline","81","2%","","","","",""
"cigarette_use","3811","","","","","",""
"... Never smoked","1854","49%","","","","",""
"... Past smoker","1225","32%","","","","",""
"... Current smoker","732","19%","","","","",""
"BMI","3728","28","5.9","12","24","32","64"
"religious_attendance","3808","","","","","",""
"... Less than Weekly","2272","60%","","","","",""
"... Weekly","1072","28%","","","","",""
"... More than Weekly","464","12%","","","","",""
"cvd","3815","","","","","",""
"... 0","3150","83%","","","","",""
"... 1","665","17%","","","","",""
