"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"age","1950","61","13","40","50","72","80"
"num_healthcare_visits","1950","","","","","",""
"... 0 to 1","410","21%","","","","",""
"... 2 to 3","526","27%","","","","",""
"... 4 to 9","675","35%","","","","",""
"... 10 to 12","173","9%","","","","",""
"... 13 or more","166","9%","","","","",""
"gender","1950","","","","","",""
"... Male","0","0%","","","","",""
"... Female","1950","100%","","","","",""
"ethnicity","1950","","","","","",""
"... Non-Hispanic White","997","51%","","","","",""
"... Hispanic","524","27%","","","","",""
"... Non-Hispanic Black","429","22%","","","","",""
"education","1947","","","","","",""
"... High School/GED","486","25%","","","","",""
"... Less than High School","643","33%","","","","",""
"... Some college","483","25%","","","","",""
"... College Graduate or above","335","17%","","","","",""
"marital_status","1950","","","","","",""
"... Never Married","134","7%","","","","",""
"... Married","1005","52%","","","","",""
"... Previously Married","811","42%","","","","",""
"food_ran_out","1928","","","","","",""
"... Never true","1598","83%","","","","",""
"... Often True","98","5%","","","","",""
"... Sometimes true","232","12%","","","","",""
"health_insurance","1950","","","","","",""
"... Covered","1638","84%","","","","",""
"... Not Covered","312","16%","","","","",""
"home","1927","","","","","",""
"... Yes","1390","72%","","","","",""
"... No","537","28%","","","","",""
"poverty_level_category","1814","","","","","",""
"... Poverty Index > 1.85","907","50%","","","","",""
"... Poverty Index in (1.30, 1.85)","289","16%","","","","",""
"... Poverty Index <= 1.3","618","34%","","","","",""
"emotional_support","1947","","","","","",""
"... Yes","1769","91%","","","","",""
"... No","178","9%","","","","",""
"health_care_access","1950","","","","","",""
"... Yes","1798","92%","","","","",""
"... No","152","8%","","","","",""
"depression","1706","3.9","4.7","0","0","5","27"
"high_blood_pressure","1948","","","","","",""
"... No","974","50%","","","","",""
"... Yes","974","50%","","","","",""
"cholesterol","1668","","","","","",""
"... No","834","50%","","","","",""
"... Yes","834","50%","","","","",""
"diabetes","1949","","","","","",""
"... No","1570","81%","","","","",""
"... Yes","345","18%","","","","",""
"... Borderline","34","2%","","","","",""
"cigarette_use","1949","","","","","",""
"... Never smoked","1141","59%","","","","",""
"... Past smoker","485","25%","","","","",""
"... Current smoker","323","17%","","","","",""
"BMI","1892","29","6.5","12","24","32","64"
"religious_attendance","1949","","","","","",""
"... Less than Weekly","1043","54%","","","","",""
"... Weekly","622","32%","","","","",""
"... More than Weekly","284","15%","","","","",""
"cvd","1950","","","","","",""
"... 0","1656","85%","","","","",""
"... 1","294","15%","","","","",""
