"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"age","1865","61","12","40","50","71","80"
"num_healthcare_visits","1863","","","","","",""
"... 0 to 1","546","29%","","","","",""
"... 2 to 3","475","25%","","","","",""
"... 4 to 9","549","29%","","","","",""
"... 10 to 12","145","8%","","","","",""
"... 13 or more","148","8%","","","","",""
"gender","1865","","","","","",""
"... Male","1865","100%","","","","",""
"... Female","0","0%","","","","",""
"ethnicity","1865","","","","","",""
"... Non-Hispanic White","994","53%","","","","",""
"... Hispanic","484","26%","","","","",""
"... Non-Hispanic Black","387","21%","","","","",""
"education","1865","","","","","",""
"... High School/GED","445","24%","","","","",""
"... Less than High School","628","34%","","","","",""
"... Some college","426","23%","","","","",""
"... College Graduate or above","366","20%","","","","",""
"marital_status","1864","","","","","",""
"... Never Married","151","8%","","","","",""
"... Married","1314","70%","","","","",""
"... Previously Married","399","21%","","","","",""
"food_ran_out","1853","","","","","",""
"... Never true","1568","85%","","","","",""
"... Often True","86","5%","","","","",""
"... Sometimes true","199","11%","","","","",""
"health_insurance","1862","","","","","",""
"... Covered","1551","83%","","","","",""
"... Not Covered","311","17%","","","","",""
"home","1854","","","","","",""
"... Yes","1386","75%","","","","",""
"... No","468","25%","","","","",""
"poverty_level_category","1755","","","","","",""
"... Poverty Index > 1.85","978","56%","","","","",""
"... Poverty Index in (1.30, 1.85)","263","15%","","","","",""
"... Poverty Index <= 1.3","514","29%","","","","",""
"emotional_support","1860","","","","","",""
"... Yes","1665","90%","","","","",""
"... No","195","10%","","","","",""
"health_care_access","1865","","","","","",""
"... Yes","1659","89%","","","","",""
"... No","206","11%","","","","",""
"depression","1651","2.7","4","0","0","4","27"
"high_blood_pressure","1864","","","","","",""
"... No","1009","54%","","","","",""
"... Yes","855","46%","","","","",""
"cholesterol","1476","","","","","",""
"... No","691","47%","","","","",""
"... Yes","785","53%","","","","",""
"diabetes","1864","","","","","",""
"... No","1487","80%","","","","",""
"... Yes","330","18%","","","","",""
"... Borderline","47","3%","","","","",""
"cigarette_use","1862","","","","","",""
"... Never smoked","713","38%","","","","",""
"... Past smoker","740","40%","","","","",""
"... Current smoker","409","22%","","","","",""
"BMI","1836","28","5.2","14","25","31","64"
"religious_attendance","1859","","","","","",""
"... Less than Weekly","1229","66%","","","","",""
"... Weekly","450","24%","","","","",""
"... More than Weekly","180","10%","","","","",""
"cvd","1865","","","","","",""
"... 0","1494","80%","","","","",""
"... 1","371","20%","","","","",""
