"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"gender","1265","","","","","",""
"... Male","0","0%","","","","",""
"... Female","1265","100%","","","","",""
"age","1265","59.846","12.346","40","49","70","80"
"rfm","1265","42.401","5.233","21.41","38.962","46.108","54.668"
"ethnicity","1265","","","","","",""
"... Non-Hispanic White","646","51.1%","","","","",""
"... Hispanic","340","26.9%","","","","",""
"... Non-Hispanic Black","239","18.9%","","","","",""
"... Other","40","3.2%","","","","",""
"education","1265","","","","","",""
"... High School/GED","314","24.8%","","","","",""
"... Less than High School","407","32.2%","","","","",""
"... Some college","306","24.2%","","","","",""
"... College Graduate or above","238","18.8%","","","","",""
"marital_status","1265","","","","","",""
"... Never Married","87","6.9%","","","","",""
"... Married","687","54.3%","","","","",""
"... Previously Married","491","38.8%","","","","",""
"... Refused","0","0%","","","","",""
"... Don't Know","0","0%","","","","",""
"poverty_level_category","1265","","","","","",""
"... Poverty Index in (1.30, 1.85)","203","16%","","","","",""
"... Poverty Index <= 1.3","425","33.6%","","","","",""
"... Poverty Index > 1.85","637","50.4%","","","","",""
"health_insurance","1265","","","","","",""
"... Not Covered","223","17.6%","","","","",""
"... Covered","1042","82.4%","","","","",""
"num_healthcare_visits","1265","","","","","",""
"... 0 to 1","286","22.6%","","","","",""
"... 2 to 3","351","27.7%","","","","",""
"... 4 to 9","428","33.8%","","","","",""
"... 10 to 12","103","8.1%","","","","",""
"... 13 or more","97","7.7%","","","","",""
"worried_house_run_out_food","1265","","","","","",""
"... Never true","1004","79.4%","","","","",""
"... Often True","97","7.7%","","","","",""
"... Sometimes true","164","13%","","","","",""
"food_ran_out","1265","","","","","",""
"... Never true","1040","82.2%","","","","",""
"... Often True","69","5.5%","","","","",""
"... Sometimes true","156","12.3%","","","","",""
"cvd","1265","0.081","0.274","0","0","0","1"
