"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"gender","597","","","","","",""
"... Male","0","0%","","","","",""
"... Female","597","100%","","","","",""
"age","597","59.918","12.476","40","49","71","80"
"rfm","597","42.187","5.066","26.213","38.944","45.883","54.23"
"ethnicity","597","","","","","",""
"... Non-Hispanic White","309","51.8%","","","","",""
"... Hispanic","163","27.3%","","","","",""
"... Non-Hispanic Black","104","17.4%","","","","",""
"... Other","21","3.5%","","","","",""
"education","597","","","","","",""
"... High School/GED","156","26.1%","","","","",""
"... Less than High School","187","31.3%","","","","",""
"... Some college","134","22.4%","","","","",""
"... College Graduate or above","120","20.1%","","","","",""
"marital_status","597","","","","","",""
"... Never Married","36","6%","","","","",""
"... Married","325","54.4%","","","","",""
"... Previously Married","236","39.5%","","","","",""
"... Refused","0","0%","","","","",""
"... Don't Know","0","0%","","","","",""
"poverty_level_category","597","","","","","",""
"... Poverty Index in (1.30, 1.85)","101","16.9%","","","","",""
"... Poverty Index <= 1.3","191","32%","","","","",""
"... Poverty Index > 1.85","305","51.1%","","","","",""
"health_insurance","597","","","","","",""
"... Not Covered","115","19.3%","","","","",""
"... Covered","482","80.7%","","","","",""
"num_healthcare_visits","597","","","","","",""
"... 0 to 1","141","23.6%","","","","",""
"... 2 to 3","176","29.5%","","","","",""
"... 4 to 9","183","30.7%","","","","",""
"... 10 to 12","53","8.9%","","","","",""
"... 13 or more","44","7.4%","","","","",""
"worried_house_run_out_food","597","","","","","",""
"... Never true","474","79.4%","","","","",""
"... Often True","41","6.9%","","","","",""
"... Sometimes true","82","13.7%","","","","",""
"food_ran_out","597","","","","","",""
"... Never true","498","83.4%","","","","",""
"... Often True","29","4.9%","","","","",""
"... Sometimes true","70","11.7%","","","","",""
"tobacco_use","597","","","","","",""
"... Never","331","55.4%","","","","",""
"... Current","108","18.1%","","","","",""
"... Former","158","26.5%","","","","",""
"alcohol_consumption","597","","","","","",""
"... Never","164","27.5%","","","","",""
"... Current Drinker","335","56.1%","","","","",""
"... Past drinker","98","16.4%","","","","",""
"fasting_glucose","597","6.253","2.249","3.941","5.273","6.328","23.425"
"difficulty_walking","597","","","","","",""
"... No","529","88.6%","","","","",""
"... Yes","68","11.4%","","","","",""
"high_blood_pressure","597","","","","","",""
"... No","301","50.4%","","","","",""
"... Yes","296","49.6%","","","","",""
"cvd","597","0.087","0.282","0","0","0","1"
