"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"gender","650","","","","","",""
"... Male","650","100%","","","","",""
"... Female","0","0%","","","","",""
"age","650","60.435","12.006","40","50","71","80"
"rfm","650","29.94","4.338","12.263","27.417","32.917","42.359"
"ethnicity","650","","","","","",""
"... Non-Hispanic White","354","54.5%","","","","",""
"... Hispanic","168","25.8%","","","","",""
"... Non-Hispanic Black","113","17.4%","","","","",""
"... Other","15","2.3%","","","","",""
"education","650","","","","","",""
"... High School/GED","145","22.3%","","","","",""
"... Less than High School","201","30.9%","","","","",""
"... Some college","154","23.7%","","","","",""
"... College Graduate or above","150","23.1%","","","","",""
"marital_status","650","","","","","",""
"... Never Married","46","7.1%","","","","",""
"... Married","462","71.1%","","","","",""
"... Previously Married","142","21.8%","","","","",""
"... Refused","0","0%","","","","",""
"... Don't Know","0","0%","","","","",""
"poverty_level_category","650","","","","","",""
"... Poverty Index in (1.30, 1.85)","85","13.1%","","","","",""
"... Poverty Index <= 1.3","190","29.2%","","","","",""
"... Poverty Index > 1.85","375","57.7%","","","","",""
"health_insurance","650","","","","","",""
"... Not Covered","115","17.7%","","","","",""
"... Covered","535","82.3%","","","","",""
"num_healthcare_visits","650","","","","","",""
"... 0 to 1","223","34.3%","","","","",""
"... 2 to 3","156","24%","","","","",""
"... 4 to 9","166","25.5%","","","","",""
"... 10 to 12","46","7.1%","","","","",""
"... 13 or more","59","9.1%","","","","",""
"worried_house_run_out_food","650","","","","","",""
"... Never true","536","82.5%","","","","",""
"... Often True","26","4%","","","","",""
"... Sometimes true","88","13.5%","","","","",""
"food_ran_out","650","","","","","",""
"... Never true","550","84.6%","","","","",""
"... Often True","23","3.5%","","","","",""
"... Sometimes true","77","11.8%","","","","",""
"tobacco_use","650","","","","","",""
"... Never","244","37.5%","","","","",""
"... Current","143","22%","","","","",""
"... Former","263","40.5%","","","","",""
"alcohol_consumption","650","","","","","",""
"... Never","54","8.3%","","","","",""
"... Current Drinker","463","71.2%","","","","",""
"... Past drinker","133","20.5%","","","","",""
"fasting_glucose","650","6.584","2.259","3.053","5.509","6.772","26.09"
"difficulty_walking","650","","","","","",""
"... No","575","88.5%","","","","",""
"... Yes","75","11.5%","","","","",""
"high_blood_pressure","650","","","","","",""
"... No","343","52.8%","","","","",""
"... Yes","307","47.2%","","","","",""
"religious_attendance","650","","","","","",""
"... Less than Weekly","442","68%","","","","",""
"... Weekly","156","24%","","","","",""
"... More than Weekly","52","8%","","","","",""
"cvd","650","0.143","0.35","0","0","0","1"
