"","Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10","Var11","Var12","Var13","Var14","Var15","Var16","Var17","Var18","Var19","Freq"
"1","middle age","Male","Non-Hispanic Black","Less than High School","Married","Poverty Index <= 1.3","Not Covered","1","Yes","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","Yes","Yes",1
"2","older adult","Female","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","Yes","Yes","Not at Risk","No","Current Drinker","Less than Weekly","Yes","Yes",1
"3","older adult","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","10 to 12","Yes","Never true","Never true","Yes","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","Yes",1
"4","older adult","Male","Non-Hispanic White","Some college","Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","Yes",1
"5","older adult","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","Yes",1
"6","older adult","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index in (1.30, 1.85)","Covered","13 or more","No","Never true","Never true","Yes","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","Yes",1
"7","older adult","Male","Hispanic","Less than High School","Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","Yes","Yes",1
"8","older adult","Female","Non-Hispanic White","Less than High School","Married","Poverty Index > 1.85","Covered","10 to 12","No","Never true","Never true","Yes","Yes","At Risk","Yes","Never","Less than Weekly","Yes","Yes",1
"9","older adult","Female","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","Yes","Yes",1
"10","older adult","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index in (1.30, 1.85)","Covered","10 to 12","No","Often True","Sometimes true","Yes","Yes","At Risk","Yes","Not Asked","Less than Weekly","Yes","Yes",1
"11","middle age","Male","Non-Hispanic Black","Less than High School","Married","Poverty Index <= 1.3","Covered","2 to 3","Yes","Never true","Never true","Yes","Yes","At Risk","Yes","Not Asked","Less than Weekly","Yes","Yes",1
"12","older adult","Male","Hispanic","Less than High School","Never Married","Poverty Index <= 1.3","Covered","10 to 12","No","Never true","Never true","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","Yes","Yes",1
"13","older adult","Male","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","No","Yes","At Risk","Yes","Past drinker","Less than Weekly","Yes","Yes",1
"14","middle age","Female","Non-Hispanic Black","Less than High School","Married","Poverty Index <= 1.3","Not Covered","2 to 3","Yes","Sometimes true","Sometimes true","Yes","Yes","At Risk","Yes","Current Drinker","Weekly","Yes","Yes",1
"15","middle age","Female","Non-Hispanic Black","Some college","Never Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Never true","Never true","Yes","Yes","At Risk","Yes","Current Drinker","Weekly","Yes","Yes",1
"16","older adult","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Never","Weekly","Yes","Yes",1
"17","older adult","Male","Non-Hispanic Black","Less than High School","Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","Yes","Not Asked","Weekly","Yes","Yes",1
"18","older adult","Male","Non-Hispanic White","High School/GED","Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Never true","Never true","Yes","Yes","At Risk","No","Not Asked","Weekly","Yes","Yes",1
"19","older adult","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","No","Not Asked","Weekly","Yes","Yes",1
"20","middle age","Female","Hispanic","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Often True","Often True","Yes","Yes","At Risk","No","Past drinker","Weekly","Yes","Yes",1
"21","older adult","Female","Non-Hispanic Black","College Graduate or above","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Sometimes true","Never true","No","Yes","At Risk","No","Past drinker","Weekly","Yes","Yes",1
"22","older adult","Male","Non-Hispanic White","High School/GED","Never Married","Poverty Index <= 1.3","Covered","10 to 12","No","Never true","Never true","No","Yes","At Risk","No","Not Asked","More than Weekly","Yes","Yes",1
"23","older adult","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Sometimes true","Sometimes true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","Yes",1
"24","middle age","Male","Non-Hispanic Black","College Graduate or above","Never Married","Poverty Index > 1.85","Covered","10 to 12","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Less than Weekly","No","Yes",1
"25","young adult-2","Female","Non-Hispanic Black","Some college","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Never true","Often True","Yes","No","At Risk","Yes","Current Drinker","Less than Weekly","No","Yes",1
"26","older adult","Male","Non-Hispanic White","Less than High School","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","Yes",1
"27","older adult","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","Yes","Current Drinker","Less than Weekly","No","Yes",1
"28","older adult","Female","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","Not at Risk","No","Current Drinker","Less than Weekly","No","Yes",1
"29","older adult","Female","Non-Hispanic White","College Graduate or above","Previously Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","No","No","Not at Risk","No","Current Drinker","Less than Weekly","No","Yes",1
"30","middle age","Male","Non-Hispanic Black","High School/GED","Previously Married","Poverty Index <= 1.3","Covered","13 or more","Yes","Sometimes true","Sometimes true","Yes","Yes","At Risk","No","Current Drinker","Less than Weekly","No","Yes",1
"31","middle age","Male","Hispanic","High School/GED","Married","Poverty Index in (1.30, 1.85)","Not Covered","2 to 3","No","Sometimes true","Sometimes true","Yes","Yes","At Risk","No","Current Drinker","Less than Weekly","No","Yes",1
"32","older adult","Female","Non-Hispanic Black","High School/GED","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","No","Current Drinker","Less than Weekly","No","Yes",1
"33","older adult","Female","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","10 to 12","No","Never true","Never true","Yes","Yes","At Risk","No","Current Drinker","Less than Weekly","No","Yes",1
"34","older adult","Male","Non-Hispanic Black","Some college","Previously Married","Poverty Index <= 1.3","Covered","1","Yes","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","No","Yes",1
"35","middle age","Male","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Not Covered","None","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","No","Yes",1
"36","older adult","Male","Non-Hispanic Black","High School/GED","Married","Poverty Index in (1.30, 1.85)","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","No","Yes",1
"37","older adult","Female","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","No","Yes",1
"38","older adult","Female","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","No","Yes",1
"39","older adult","Female","Hispanic","Less than High School","Previously Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Less than Weekly","No","Yes",1
"40","older adult","Male","Non-Hispanic White","Some college","Married","Poverty Index in (1.30, 1.85)","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","No","Current Drinker","Less than Weekly","No","Yes",1
"41","older adult","Male","Hispanic","Less than High School","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","No","Never","Less than Weekly","No","Yes",1
"42","older adult","Female","Hispanic","Less than High School","Previously Married","Poverty Index in (1.30, 1.85)","Covered","13 or more","Yes","Sometimes true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","Yes",1
"43","older adult","Female","Non-Hispanic White","College Graduate or above","Previously Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","Yes",1
"44","older adult","Female","Non-Hispanic White","Less than High School","Previously Married","Poverty Index in (1.30, 1.85)","Covered","13 or more","No","Never true","Never true","No","Yes","At Risk","No","Never","Less than Weekly","No","Yes",1
"45","middle age","Female","Non-Hispanic White","High School/GED","Married","Poverty Index in (1.30, 1.85)","Not Covered","2 to 3","No","Sometimes true","Sometimes true","Yes","No","Not at Risk","Yes","Not Asked","Less than Weekly","No","Yes",1
"46","middle age","Male","Non-Hispanic Black","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","10 to 12","No","Sometimes true","Sometimes true","Yes","No","Not at Risk","Yes","Not Asked","Less than Weekly","No","Yes",1
"47","middle age","Female","Non-Hispanic Black","Some college","Married","Poverty Index > 1.85","Covered","10 to 12","Yes","Often True","Sometimes true","Yes","Yes","At Risk","Yes","Not Asked","Less than Weekly","No","Yes",1
"48","older adult","Male","Non-Hispanic White","Less than High School","Married","Poverty Index > 1.85","Covered","1","No","Never true","Never true","No","Yes","At Risk","Yes","Not Asked","Less than Weekly","No","Yes",1
"49","young adult-2","Female","Non-Hispanic White","College Graduate or above","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","No","At Risk","Yes","Not Asked","Less than Weekly","No","Yes",1
"50","older adult","Male","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Covered","2 to 3","Yes","Never true","Never true","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","No","Yes",1
"51","older adult","Male","Non-Hispanic Black","Some college","Never Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","No","Yes",1
"52","older adult","Male","Hispanic","College Graduate or above","Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","No","Yes",1
"53","older adult","Male","Hispanic","Less than High School","Never Married","Poverty Index <= 1.3","Covered","13 or more","No","Never true","Never true","Yes","Yes","At Risk","No","Not Asked","Less than Weekly","No","Yes",1
"54","older adult","Male","Non-Hispanic White","Less than High School","Previously Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Sometimes true","Sometimes true","No","Yes","At Risk","No","Not Asked","Less than Weekly","No","Yes",1
"55","older adult","Male","Non-Hispanic Black","Less than High School","Married","Poverty Index <= 1.3","Covered","4 to 9","No","Never true","Never true","No","Yes","At Risk","No","Not Asked","Less than Weekly","No","Yes",1
"56","older adult","Male","Non-Hispanic White","Less than High School","Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","Yes","No","At Risk","No","Not Asked","Less than Weekly","No","Yes",1
"57","middle age","Female","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Never true","No","No","At Risk","No","Not Asked","Less than Weekly","No","Yes",1
"58","older adult","Male","Non-Hispanic White","Less than High School","Married","Poverty Index > 1.85","Covered","13 or more","No","Never true","Never true","No","No","At Risk","No","Not Asked","Less than Weekly","No","Yes",1
"59","older adult","Male","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","4 to 9","No","Never true","Sometimes true","No","Yes","At Risk","No","Past drinker","Less than Weekly","No","Yes",1
"60","older adult","Female","Non-Hispanic White","Less than High School","Previously Married","Poverty Index <= 1.3","Covered","4 to 9","Yes","Never true","Never true","No","Yes","At Risk","No","Past drinker","Less than Weekly","No","Yes",1
"61","older adult","Female","Hispanic","Less than High School","Married","Poverty Index <= 1.3","Covered","4 to 9","No","Sometimes true","Sometimes true","No","Yes","Not at Risk","Yes","Current Drinker","Weekly","No","Yes",1
"62","older adult","Male","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","Yes","Current Drinker","Weekly","No","Yes",1
"63","middle age","Female","Hispanic","Less than High School","Previously Married","Poverty Index <= 1.3","Not Covered","2 to 3","Yes","Sometimes true","Sometimes true","Yes","Yes","At Risk","No","Current Drinker","Weekly","No","Yes",1
"64","older adult","Male","Non-Hispanic White","High School/GED","Married","Poverty Index in (1.30, 1.85)","Covered","4 to 9","No","Never true","Never true","Yes","Yes","At Risk","No","Current Drinker","Weekly","No","Yes",1
"65","older adult","Male","Non-Hispanic White","High School/GED","Never Married","Poverty Index <= 1.3","Covered","13 or more","No","Never true","Never true","Yes","Yes","At Risk","No","Current Drinker","Weekly","No","Yes",1
"66","middle age","Male","Non-Hispanic Black","High School/GED","Married","Poverty Index <= 1.3","Covered","13 or more","Yes","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Weekly","No","Yes",1
"67","older adult","Male","Non-Hispanic Black","College Graduate or above","Married","Poverty Index in (1.30, 1.85)","Covered","1","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Weekly","No","Yes",1
"68","older adult","Male","Non-Hispanic White","High School/GED","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Weekly","No","Yes",1
"69","older adult","Male","Non-Hispanic White","Some college","Married","Poverty Index > 1.85","Covered","2 to 3","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Weekly","No","Yes",1
"70","older adult","Female","Non-Hispanic White","High School/GED","Previously Married","Poverty Index <= 1.3","Covered","13 or more","No","Never true","Never true","No","Yes","At Risk","No","Current Drinker","Weekly","No","Yes",1
