"","age","num_healthcare_visits","gender","ethnicity","education","marital_status","food_ran_out","health_insurance","home","poverty_level_category","emotional_support","health_care_access","depression","high_blood_pressure","cholesterol","diabetes","cigarette_use","BMI","religious_attendance","cvd"
"age",NA,2.34592628100395e-66,0.518578661808059,2.12497079278307e-24,1.54024866063193e-10,1.24504141547327e-36,7.97515032017401e-19,2.091713079762e-84,1.70237135962443e-16,5.45468707520129e-09,0.0990926163878901,1.764550830036e-34,8.95618340912572e-05,9.9542154801136e-62,1.0983221632267e-07,5.02293543619067e-19,1.05022041930543e-55,0.572349011115484,1.49748037538412e-13,1.45434647717947e-67
"num_healthcare_visits",8.02272546842759e-47,NA,6.50476719704573e-07,1.07025922200329e-14,0.872369883876132,1.45751922369404e-08,0.765647308934673,1.43263498728177e-60,0.242154648894115,0.677324105732654,0.0055257660409963,3.54526434325416e-75,8.51164116572373e-27,3.45517236781437e-71,2.31227906988516e-09,3.8633648614015e-46,1.33566686447839e-08,0.08038245284235,0.147829131122686,1.50226918736431e-45
"gender",0.397802364722559,2.35148437942333e-07,NA,0.3945177133516,0.160113040721385,6.14051800821387e-40,0.348866609850438,0.557707029693157,0.273350292363437,0.00195156327955934,0.0382557779479609,0.00124024038875823,6.71290508222259e-11,0.0107227886714939,0.0746429855913061,0.249188845576645,1.76422465064429e-35,2.49467958425822e-22,1.24985517777454e-14,8.89916931310563e-05
"ethnicity",3.47666482113185e-20,0.000136914981639554,0.17644417623708,NA,7.12782596961653e-40,6.00898873617247e-12,8.58521144214688e-13,1.74626778091021e-16,3.25470656495764e-46,7.36123149336587e-17,0.102546969105152,0.0244922573465154,0.00140428199667205,0.000471547026237205,0.656539013425887,3.16626921726481e-12,3.0275636839773e-07,0.00081982053159841,0.00175934534906052,0.000945703298950701
"education",0.00230380419979977,0.0123602543421373,0.287739792450067,0.000180669703726395,NA,0.0559321563509018,3.29107061090668e-16,4.60405264588917e-11,4.83262040556609e-08,1.39164694614515e-47,7.20427998854386e-08,0.0466990647622854,0.00529502710014885,0.0264858487209304,0.18800315898478,8.49375356937312e-06,9.15012714858681e-11,0.638406676295302,0.303371537026414,0.000434472591038221
"marital_status",7.94924438113066e-27,5.62668016014863e-08,9.93038226512082e-34,0.00393146730117926,0.000204695799090258,NA,0.0385797304529629,0.00909457767419237,2.21915892753633e-09,2.85943252527139e-11,0.0783661650064981,0.0219949754849485,0.000232538004749433,2.84465032149618e-09,0.200377913616068,0.00339316184124383,0.096413820031939,0.012063384054055,0.64492027555688,3.1177526485631e-05
"food_ran_out",2.66983692541173e-09,0.0143681591447123,0.14672181047015,5.88673794809803e-22,8.20593006753078e-46,9.17249746858769e-10,NA,3.76584907924426e-26,4.33148330094009e-74,4.57862824944342e-92,0.000181540923391047,6.82612024568257e-07,7.39338287679413e-40,0.0803613832016425,0.420948242171216,0.0270218363313453,1.64888598015345e-20,0.000211337168619714,0.000239434865892636,0.00557653420044108
"health_insurance",1.37747193330985e-68,1.36076188991522e-72,0.557707029692478,2.63527532031947e-51,5.418052286472e-27,6.58373470419529e-08,2.15755496085143e-25,NA,4.1465195601208e-24,3.92549426768974e-52,5.04840472948613e-10,3.80028395146516e-122,0.0554671783032067,2.09621901869154e-18,0.0155301329642535,0.00334295579789948,1.08980069583242e-23,0.319312164645786,0.000115473325067708,6.96977361004379e-12
"home",1.08561446108199e-09,4.91989283331708e-05,0.0779402147766602,3.75186173368281e-44,8.22385733236754e-37,2.83535861846465e-68,2.83516570630347e-74,1.63409076849911e-25,NA,4.26176884048346e-68,3.66742492693822e-06,2.83081266121647e-09,2.93605675221053e-15,0.830271244574206,0.59590563702859,0.0691272406292875,2.34105813774268e-19,0.00311113581170494,3.73206062030978e-06,0.00766569266509103
"poverty_level_category",0.0023106385523502,5.4044838067016e-08,0.00248348135812734,1.76423859339027e-17,1.36804987387654e-96,2.01332924271794e-21,9.53769023879874e-50,3.00140928790483e-33,1.10235940289103e-42,NA,2.68690134887004e-07,1.24082196513201e-07,3.94301106138956e-08,0.274743596957774,0.462273946140849,0.000707913367385962,8.05362493291636e-11,0.061721687919981,0.819060710802163,0.00187699409579484
"emotional_support",0.707168518676521,0.000249770042872869,0.148623759469557,1.71170428286075e-22,1.94812048098674e-17,4.60787194953281e-08,0.00027199796881993,5.95230632447319e-10,4.3592969342372e-06,2.17533348520225e-13,NA,4.72356733043524e-08,0.000122248075522845,0.0197571328348022,0.608732928315207,0.0884101156870538,0.631764601715485,0.955503957768199,0.0101169970239336,0.768661951407897
"health_care_access",7.5703062526791e-27,2.56865304219997e-109,0.00032425112936782,3.49928602463887e-32,6.58928057078779e-07,0.00122427974150935,9.92539768446773e-07,8.02602083795297e-121,8.58282659873661e-08,6.96730083918286e-11,1.31094186840751e-07,NA,0.381261614844618,3.97463697585523e-26,0.00186141477796291,4.02673048365431e-10,3.13918323767645e-10,0.92406934178176,0.000989938656884672,1.11815591681285e-10
"depression",0.0630730952603338,8.75446636365143e-33,7.58312209855194e-21,0.0397028642414531,6.43605436298995e-10,4.38306783866699e-12,4.32489801441007e-32,0.0174660111922504,2.77931356174677e-16,3.27969373223559e-19,0.000458352017116409,0.201803460096293,NA,1.77778485488167e-06,0.017845053593286,2.75818576617137e-07,6.55852141082822e-14,0.0254766152484201,0.000554349062732658,2.01415555733376e-07
"high_blood_pressure",2.46112623478024e-49,1.66445479128321e-74,0.0107227886714869,1.81393828953259e-16,0.062040369803441,1.46876580865865e-08,0.0841476779520396,2.09621901868365e-18,0.81880620363373,0.531404099683315,0.0382469319487749,2.34101916608492e-25,0.00239333792212413,NA,2.94214194403881e-26,3.18557838815725e-53,1.0712489624498e-05,2.07287810586791e-07,0.116357870523969,1.32799647923234e-51
"cholesterol",5.54874566087208e-07,2.79412010411014e-09,0.0746429855912485,0.707586882617617,0.229095146210109,0.303673362983013,0.613942285110721,0.0155301329642167,0.776788337400048,0.761073968790705,0.666209260229374,0.00520393231481581,0.0965441630099718,2.94214194403649e-26,NA,2.06034356849605e-12,0.00264046677317861,0.502591040986772,0.467144960575062,5.8823819873095e-13
"diabetes",2.11677408265902e-14,7.03310420073951e-35,0.622752516724416,1.57795340162059e-11,2.61918606593589e-11,0.00253822815062723,0.314391563398286,0.0144611362409282,0.162211797600834,9.76323865725658e-05,0.126689310256862,4.03173983559823e-09,0.00643884128444117,3.6767351541665e-38,3.02287795129855e-08,NA,0.0797489459328676,3.61087951297109e-08,0.327972826797926,2.38425708920893e-28
"cigarette_use",7.03212161321654e-05,0.00505170464352817,9.51453677262121e-29,1.44612396144918e-09,7.28588299082062e-11,0.000765583106715465,1.87756220066337e-07,7.60227795398976e-06,2.81992662968637e-08,1.04838526959628e-09,0.0826219376965389,0.00385210700057712,7.31599880231722e-08,0.185879133372237,0.00534021889154902,0.989767029344106,NA,0.0899428030512099,3.02675692736733e-27,8.34938208690489e-05
"BMI",2.11108110514341e-18,6.87713336955084e-05,0.334154722437465,2.42682632784269e-13,0.000565122512414961,0.0149597975951111,0.00823953661684432,0.431136916022553,0.65192703663392,0.0141496560388956,0.869739999894727,0.00189160799871533,0.0988248193234181,1.25172197836164e-35,0.000197755856111644,5.63369722886971e-42,1.93210929872731e-15,NA,0.105772871800289,0.0624728438970647
"religious_attendance",8.48885191442243e-06,0.00108099858119742,1.611136891835e-15,0.000205650866918378,0.645975444763833,0.000260129767809731,0.00354836586092747,0.00231281133296492,0.00115719697555431,0.826629698388784,0.000870010313046289,0.000913332864502412,0.0811008568958568,0.0441178907670804,0.242851997396406,0.320539908213541,1.53892658412608e-29,0.353475031681018,NA,0.894801642977574
"cvd",9.60506959456247e-50,1.32385760649911e-42,8.89916931311136e-05,4.57682418025838e-09,0.000481910062997052,4.07003478131629e-05,0.00304794565031314,6.96977361004574e-12,0.014261745622765,0.00770101718618181,0.544139763060441,2.05518237883999e-10,8.1308916650374e-07,1.32799647923192e-51,5.88238198732142e-13,3.70027929245113e-37,4.3619282137744e-10,0.132683909790172,0.0633081933461368,NA
