"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"age","1950","60.8","12.5","40","50","72","80"
"num_healthcare_visits","1950","","","","","",""
"... 0 to 1","410","21%","","","","",""
"... 2 to 3","526","27%","","","","",""
"... 4 to 9","675","34.6%","","","","",""
"... 10 to 12","173","8.9%","","","","",""
"... 13 or more","166","8.5%","","","","",""
"gender","1950","","","","","",""
"... Male","0","0%","","","","",""
"... Female","1950","100%","","","","",""
"ethnicity","1950","","","","","",""
"... Non-Hispanic White","997","51.1%","","","","",""
"... Hispanic","524","26.9%","","","","",""
"... Non-Hispanic Black","429","22%","","","","",""
"education","1947","","","","","",""
"... High School/GED","486","25%","","","","",""
"... Less than High School","643","33%","","","","",""
"... Some college","483","24.8%","","","","",""
"... College Graduate or above","335","17.2%","","","","",""
"marital_status","1950","","","","","",""
"... Never Married","134","6.9%","","","","",""
"... Married","1005","51.5%","","","","",""
"... Previously Married","811","41.6%","","","","",""
"food_ran_out","1928","","","","","",""
"... Never true","1598","82.9%","","","","",""
"... Often True","98","5.1%","","","","",""
"... Sometimes true","232","12%","","","","",""
"health_insurance","1950","","","","","",""
"... Covered","1638","84%","","","","",""
"... Not Covered","312","16%","","","","",""
"home","1927","","","","","",""
"... Yes","1390","72.1%","","","","",""
"... No","537","27.9%","","","","",""
"poverty_level_category","1814","","","","","",""
"... Poverty Index > 1.85","907","50%","","","","",""
"... Poverty Index in (1.30, 1.85)","289","15.9%","","","","",""
"... Poverty Index <= 1.3","618","34.1%","","","","",""
"emotional_support","1947","","","","","",""
"... Yes","1769","90.9%","","","","",""
"... No","178","9.1%","","","","",""
"health_care_access","1950","","","","","",""
"... Yes","1798","92.2%","","","","",""
"... No","152","7.8%","","","","",""
"depression","1706","3.91","4.75","0","0","5","27"
"high_blood_pressure","1948","","","","","",""
"... No","974","50%","","","","",""
"... Yes","974","50%","","","","",""
"cholesterol","1668","","","","","",""
"... No","834","50%","","","","",""
"... Yes","834","50%","","","","",""
"diabetes","1949","","","","","",""
"... No","1570","80.6%","","","","",""
"... Yes","345","17.7%","","","","",""
"... Borderline","34","1.7%","","","","",""
"cigarette_use","1949","","","","","",""
"... Never smoked","1141","58.5%","","","","",""
"... Past smoker","485","24.9%","","","","",""
"... Current smoker","323","16.6%","","","","",""
"BMI","1892","28.5","6.51","12.1","23.9","32","63.7"
"religious_attendance","1949","","","","","",""
"... Less than Weekly","1043","53.5%","","","","",""
"... Weekly","622","31.9%","","","","",""
"... More than Weekly","284","14.6%","","","","",""
"cvd","1950","","","","","",""
"... 0","1656","84.9%","","","","",""
"... 1","294","15.1%","","","","",""
