"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"age","1865","60.6","12.4","40","50","71","80"
"num_healthcare_visits","1863","","","","","",""
"... 0 to 1","546","29.3%","","","","",""
"... 2 to 3","475","25.5%","","","","",""
"... 4 to 9","549","29.5%","","","","",""
"... 10 to 12","145","7.8%","","","","",""
"... 13 or more","148","7.9%","","","","",""
"gender","1865","","","","","",""
"... Male","1865","100%","","","","",""
"... Female","0","0%","","","","",""
"ethnicity","1865","","","","","",""
"... Non-Hispanic White","994","53.3%","","","","",""
"... Hispanic","484","26%","","","","",""
"... Non-Hispanic Black","387","20.8%","","","","",""
"education","1865","","","","","",""
"... High School/GED","445","23.9%","","","","",""
"... Less than High School","628","33.7%","","","","",""
"... Some college","426","22.8%","","","","",""
"... College Graduate or above","366","19.6%","","","","",""
"marital_status","1864","","","","","",""
"... Never Married","151","8.1%","","","","",""
"... Married","1314","70.5%","","","","",""
"... Previously Married","399","21.4%","","","","",""
"food_ran_out","1853","","","","","",""
"... Never true","1568","84.6%","","","","",""
"... Often True","86","4.6%","","","","",""
"... Sometimes true","199","10.7%","","","","",""
"health_insurance","1862","","","","","",""
"... Covered","1551","83.3%","","","","",""
"... Not Covered","311","16.7%","","","","",""
"home","1854","","","","","",""
"... Yes","1386","74.8%","","","","",""
"... No","468","25.2%","","","","",""
"poverty_level_category","1755","","","","","",""
"... Poverty Index > 1.85","978","55.7%","","","","",""
"... Poverty Index in (1.30, 1.85)","263","15%","","","","",""
"... Poverty Index <= 1.3","514","29.3%","","","","",""
"emotional_support","1860","","","","","",""
"... Yes","1665","89.5%","","","","",""
"... No","195","10.5%","","","","",""
"health_care_access","1865","","","","","",""
"... Yes","1659","89%","","","","",""
"... No","206","11%","","","","",""
"depression","1651","2.72","4.04","0","0","4","27"
"high_blood_pressure","1864","","","","","",""
"... No","1009","54.1%","","","","",""
"... Yes","855","45.9%","","","","",""
"cholesterol","1476","","","","","",""
"... No","691","46.8%","","","","",""
"... Yes","785","53.2%","","","","",""
"diabetes","1864","","","","","",""
"... No","1487","79.8%","","","","",""
"... Yes","330","17.7%","","","","",""
"... Borderline","47","2.5%","","","","",""
"cigarette_use","1862","","","","","",""
"... Never smoked","713","38.3%","","","","",""
"... Past smoker","740","39.7%","","","","",""
"... Current smoker","409","22%","","","","",""
"BMI","1836","28.4","5.24","14.2","25.1","30.9","63.5"
"religious_attendance","1859","","","","","",""
"... Less than Weekly","1229","66.1%","","","","",""
"... Weekly","450","24.2%","","","","",""
"... More than Weekly","180","9.7%","","","","",""
"cvd","1865","","","","","",""
"... 0","1494","80.1%","","","","",""
"... 1","371","19.9%","","","","",""
